source,eligible_reporters,verified_reporters,strong_reporters,likely_reporters,unmatched_reporters,unknown_tier_reporters,unverified_reporters,likely_backlog,verified_target_70pct,verified_shortfall,strategy_id,workflow,command_template
Jerusalem Post,78,25,0,53,0,0,53,53,55,30,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Jerusalem Post' --target-promotions 30 --max-articles-per-reporter 3
The Fiji Times,48,0,0,48,0,0,48,48,34,34,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Fiji Times' --target-promotions 34 --max-articles-per-reporter 3
Global Voices,46,0,0,46,0,0,46,46,33,33,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Global Voices' --target-promotions 33 --max-articles-per-reporter 3
Reason,78,30,3,45,0,0,48,45,55,25,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Reason' --target-promotions 25 --max-articles-per-reporter 3
Report.az,44,0,0,44,0,0,44,44,31,31,blocked_cloudflare_manual,"Blocked or challenge-prone source. Run a bounded dry run, inspect access_barriers and sample_rejected, then handle manually before applying.",uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Report.az' --target-promotions 31 --max-articles-per-reporter 3 --limit-reporters 62 # review access_barriers before any --apply run
Aeon,43,0,0,43,0,0,43,43,31,31,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Aeon' --target-promotions 31 --max-articles-per-reporter 3
The Observer Uganda,40,0,0,40,0,0,40,40,28,28,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Observer Uganda' --target-promotions 28 --max-articles-per-reporter 3
The Slovak Spectator,40,0,0,40,0,0,40,40,28,28,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Slovak Spectator' --target-promotions 28 --max-articles-per-reporter 3
National Post,43,3,1,39,0,0,40,39,31,28,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'National Post' --target-promotions 28 --max-articles-per-reporter 3
Liberation News,36,0,0,36,0,0,36,36,26,26,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Liberation News' --target-promotions 26 --max-articles-per-reporter 3
PhillyVoice,46,10,0,36,0,0,36,36,33,23,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'PhillyVoice' --target-promotions 23 --max-articles-per-reporter 3
Ekathimerini,65,30,0,35,0,0,35,35,46,16,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Ekathimerini' --target-promotions 16 --max-articles-per-reporter 3
Religion Dispatches,32,0,0,32,0,0,32,32,23,23,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Religion Dispatches' --target-promotions 23 --max-articles-per-reporter 3
Post-Courier,31,0,0,31,0,0,31,31,22,22,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Post-Courier' --target-promotions 22 --max-articles-per-reporter 3
WHYY,50,19,0,31,0,0,31,31,35,16,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'WHYY' --target-promotions 16 --max-articles-per-reporter 3
Electronic Intifada,30,0,0,30,0,0,30,30,21,21,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Electronic Intifada' --target-promotions 21 --max-articles-per-reporter 3
PC Gamer,42,12,0,30,0,0,30,30,30,18,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'PC Gamer' --target-promotions 18 --max-articles-per-reporter 3
Current Affairs,27,0,0,27,0,0,27,27,19,19,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Current Affairs' --target-promotions 19 --max-articles-per-reporter 3
972mag.com,30,0,4,26,0,0,30,26,21,21,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source '972mag.com' --target-promotions 21 --max-articles-per-reporter 3
Mexico News Daily,32,7,0,25,0,0,25,25,23,16,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Mexico News Daily' --target-promotions 16 --max-articles-per-reporter 3
38 North,24,0,0,24,0,0,24,24,17,17,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source '38 North' --target-promotions 17 --max-articles-per-reporter 3
MyJoyOnline,33,10,0,23,0,0,23,23,24,14,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'MyJoyOnline' --target-promotions 14 --max-articles-per-reporter 3
Morocco World News,31,9,0,22,0,0,22,22,22,13,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Morocco World News' --target-promotions 13 --max-articles-per-reporter 3
Jamaica Observer,43,21,0,22,0,0,22,22,31,10,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Jamaica Observer' --target-promotions 10 --max-articles-per-reporter 3
Caracas Chronicles,21,0,0,21,0,0,21,21,15,15,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Caracas Chronicles' --target-promotions 15 --max-articles-per-reporter 3
FrontPage Africa,21,0,0,21,0,0,21,21,15,15,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'FrontPage Africa' --target-promotions 15 --max-articles-per-reporter 3
NK News,20,0,0,20,0,0,20,20,14,14,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'NK News' --target-promotions 14 --max-articles-per-reporter 3
The Chanzo,20,0,0,20,0,0,20,20,14,14,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Chanzo' --target-promotions 14 --max-articles-per-reporter 3
KT Press,21,2,0,19,0,0,19,19,15,13,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'KT Press' --target-promotions 13 --max-articles-per-reporter 3
Premium Times,51,32,0,19,0,0,19,19,36,4,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Premium Times' --target-promotions 4 --max-articles-per-reporter 3
IGN,51,33,0,18,0,0,18,18,36,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'IGN' --target-promotions 3 --max-articles-per-reporter 3
Breitbart,52,35,0,17,0,0,17,17,37,2,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Breitbart' --target-promotions 2 --max-articles-per-reporter 3
Guyana Chronicle,16,0,0,16,0,0,16,16,12,12,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Guyana Chronicle' --target-promotions 12 --max-articles-per-reporter 3
Novara Media,17,1,0,16,0,0,16,16,12,11,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Novara Media' --target-promotions 11 --max-articles-per-reporter 3
Malay Mail,15,0,0,15,0,0,15,15,11,11,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Malay Mail' --target-promotions 11 --max-articles-per-reporter 3
Confidencial English,14,0,0,14,0,0,14,14,10,10,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Confidencial English' --target-promotions 10 --max-articles-per-reporter 3
StarPhoenix,13,0,0,13,0,0,13,13,10,10,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'StarPhoenix' --target-promotions 10 --max-articles-per-reporter 3
The Voice Botswana,13,0,0,13,0,0,13,13,10,10,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Voice Botswana' --target-promotions 10 --max-articles-per-reporter 3
Windsor Star,13,0,0,13,0,0,13,13,10,10,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Windsor Star' --target-promotions 10 --max-articles-per-reporter 3
Washington Examiner,45,32,0,13,0,0,13,13,32,0,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Washington Examiner' --target-promotions 1 --max-articles-per-reporter 3
Variety,46,34,0,12,0,0,12,12,33,0,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Variety' --target-promotions 1 --max-articles-per-reporter 3
Africa Check,11,0,0,11,0,0,11,11,8,8,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Africa Check' --target-promotions 8 --max-articles-per-reporter 3
Daily News Egypt,11,0,0,11,0,0,11,11,8,8,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Daily News Egypt' --target-promotions 8 --max-articles-per-reporter 3
DutchNews.nl,11,0,0,11,0,0,11,11,8,8,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'DutchNews.nl' --target-promotions 8 --max-articles-per-reporter 3
Newsbook Malta,11,0,0,11,0,0,11,11,8,8,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Newsbook Malta' --target-promotions 8 --max-articles-per-reporter 3
Telesur English,10,0,0,10,0,0,10,10,7,7,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Telesur English' --target-promotions 7 --max-articles-per-reporter 3
ZimLive,10,0,0,10,0,0,10,10,7,7,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'ZimLive' --target-promotions 7 --max-articles-per-reporter 3
Leader Post,9,0,0,9,0,0,9,9,7,7,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Leader Post' --target-promotions 7 --max-articles-per-reporter 3
Mail & Guardian,9,0,0,9,0,0,9,9,7,7,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Mail & Guardian' --target-promotions 7 --max-articles-per-reporter 3
Geopolitical Futures,8,0,0,8,0,0,8,8,6,6,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Geopolitical Futures' --target-promotions 6 --max-articles-per-reporter 3
Doha News,7,0,0,7,0,0,7,7,5,5,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Doha News' --target-promotions 5 --max-articles-per-reporter 3
St. Lucia Times,9,2,0,7,0,0,7,7,7,5,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'St. Lucia Times' --target-promotions 5 --max-articles-per-reporter 3
Barbados Today,11,4,0,7,0,0,7,7,8,4,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Barbados Today' --target-promotions 4 --max-articles-per-reporter 3
The Rio Times,6,0,0,6,0,0,6,6,5,5,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Rio Times' --target-promotions 5 --max-articles-per-reporter 3
News Diggers,21,15,0,6,0,0,6,6,15,0,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'News Diggers' --target-promotions 1 --max-articles-per-reporter 3
Hong Kong Free Press,10,4,1,5,0,0,6,5,7,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Hong Kong Free Press' --target-promotions 3 --max-articles-per-reporter 3
Asia-Plus,6,1,0,5,0,0,5,5,5,4,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Asia-Plus' --target-promotions 4 --max-articles-per-reporter 3
Jamestown Foundation,5,0,0,5,0,0,5,5,4,4,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Jamestown Foundation' --target-promotions 4 --max-articles-per-reporter 3
Peru Reports,5,0,0,5,0,0,5,5,4,4,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Peru Reports' --target-promotions 4 --max-articles-per-reporter 3
Kuwait Times,4,0,0,4,0,0,4,4,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Kuwait Times' --target-promotions 3 --max-articles-per-reporter 3
Saudi Gazette,4,0,0,4,0,0,4,4,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Saudi Gazette' --target-promotions 3 --max-articles-per-reporter 3
The Astana Times,4,0,0,4,0,0,4,4,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Astana Times' --target-promotions 3 --max-articles-per-reporter 3
Trinidad and Tobago Newsday,4,0,0,4,0,0,4,4,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Trinidad and Tobago Newsday' --target-promotions 3 --max-articles-per-reporter 3
Bhutan Broadcasting Service,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bhutan Broadcasting Service' --target-promotions 3 --max-articles-per-reporter 3
Civil Georgia,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Civil Georgia' --target-promotions 3 --max-articles-per-reporter 3
Costa Rica News,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Costa Rica News' --target-promotions 3 --max-articles-per-reporter 3
